BÖLÜM C: GÖRSEL VE BOYUTSAL KALİTE KONTROL (ISO 2859-1 AQL)

No	Kontrol Saati	Üretim Miktarı (Sayaç)	Numune Adedi	Çöküntü İzi (OK/RET)	Çapak (OK/RET)	Çizik/Leke (OK/RET)	Kalıp Yüzeyi (OK/RET)	Renk Uyumu (OK/RET)	Boyutsal Kontrol (OK/RET)	Genel Sonuç	Operatör İmza
1
2
3
4
5
6
7
8
9
10
11
12
