BÖLÜM D: ÜRETİM ÖZETİ

Parametre	Değer
Toplam Üretim (Adet)
Sevk Edilen (Adet)
Hatalı / Fire (Adet)
Fire Oranı (%)	0,00%
Kabul Oranı (%)	0,00%
AQL Seviyesi	1.0 (Genel Kontrol Seviyesi II)
